experiment_name,model_type,channel_set_name,channel_names,n_channels,n_temporal_features,fold,runtime_seconds,best_epoch,best_val_loss,epochs_trained,accuracy,balanced_accuracy,roc_auc,precision_sick,recall_sick,sensitivity_sick,specificity_healthy,f1_sick,tn,fp,fn,tp
temporal_3ch_mean_std_mean_delta_temporal_cnn,temporal_cnn,temporal_3ch_mean_std_mean_delta,frame_mean|frame_std|mean_delta,3,60,5,3.5982537269592285,109.0,0.5985633134841919,134.0,0.5714285714285714,0.521505376344086,0.6433691756272402,0.4,0.3333333333333333,0.3333333333333333,0.7096774193548387,0.36363636363636365,22,9,12,6
temporal_4ch_mean_std_mean_delta_std_delta_flat_logistic,flat_logistic,temporal_4ch_mean_std_mean_delta_std_delta,frame_mean|frame_std|mean_delta|std_delta,4,80,1,0.013252973556518555,,,,0.72,0.7083333333333333,0.7777777777777777,0.6,0.6666666666666666,0.6666666666666666,0.75,0.631578947368421,24,8,6,12
temporal_4ch_mean_std_mean_delta_std_delta_flat_logistic,flat_logistic,temporal_4ch_mean_std_mean_delta_std_delta,frame_mean|frame_std|mean_delta|std_delta,4,80,2,0.012699604034423828,,,,0.74,0.7239583333333333,0.8246527777777778,0.631578947368421,0.6666666666666666,0.6666666666666666,0.78125,0.6486486486486487,25,7,6,12
temporal_4ch_mean_std_mean_delta_std_delta_flat_logistic,flat_logistic,temporal_4ch_mean_std_mean_delta_std_delta,frame_mean|frame_std|mean_delta|std_delta,4,80,3,0.012783527374267578,,,,0.74,0.6996527777777778,0.748263888888889,0.6666666666666666,0.5555555555555556,0.5555555555555556,0.84375,0.6060606060606061,27,5,8,10
temporal_4ch_mean_std_mean_delta_std_delta_flat_logistic,flat_logistic,temporal_4ch_mean_std_mean_delta_std_delta,frame_mean|frame_std|mean_delta|std_delta,4,80,4,0.01304936408996582,,,,0.6938775510204082,0.6881720430107527,0.7222222222222223,0.5714285714285714,0.6666666666666666,0.6666666666666666,0.7096774193548387,0.6153846153846154,22,9,6,12
temporal_4ch_mean_std_mean_delta_std_delta_flat_logistic,flat_logistic,temporal_4ch_mean_std_mean_delta_std_delta,frame_mean|frame_std|mean_delta|std_delta,4,80,5,0.013267993927001953,,,,0.6938775510204082,0.6998207885304659,0.7132616487455198,0.5652173913043478,0.7222222222222222,0.7222222222222222,0.6774193548387096,0.6341463414634146,21,10,5,13
temporal_4ch_mean_std_mean_delta_std_delta_temporal_cnn,temporal_cnn,temporal_4ch_mean_std_mean_delta_std_delta,frame_mean|frame_std|mean_delta|std_delta,4,80,1,1.3183164596557617,35.0,0.611579418182373,60.0,0.8,0.7708333333333333,0.8645833333333333,0.75,0.6666666666666666,0.6666666666666666,0.875,0.7058823529411765,28,4,6,12
temporal_4ch_mean_std_mean_delta_std_delta_temporal_cnn,temporal_cnn,temporal_4ch_mean_std_mean_delta_std_delta,frame_mean|frame_std|mean_delta|std_delta,4,80,2,0.7904877662658691,16.0,0.7168309092521667,41.0,0.76,0.7638888888888888,0.8315972222222222,0.6363636363636364,0.7777777777777778,0.7777777777777778,0.75,0.7,24,8,4,14
temporal_4ch_mean_std_mean_delta_std_delta_temporal_cnn,temporal_cnn,temporal_4ch_mean_std_mean_delta_std_delta,frame_mean|frame_std|mean_delta|std_delta,4,80,3,2.6692092418670654,111.0,0.31129223108291626,136.0,0.74,0.6753472222222222,0.890625,0.7272727272727273,0.4444444444444444,0.4444444444444444,0.90625,0.5517241379310345,29,3,10,8
temporal_4ch_mean_std_mean_delta_std_delta_temporal_cnn,temporal_cnn,temporal_4ch_mean_std_mean_delta_std_delta,frame_mean|frame_std|mean_delta|std_delta,4,80,4,1.4054598808288574,43.0,0.7060627937316895,68.0,0.7142857142857143,0.7159498207885304,0.8189964157706092,0.5909090909090909,0.7222222222222222,0.7222222222222222,0.7096774193548387,0.65,22,9,5,13
temporal_4ch_mean_std_mean_delta_std_delta_temporal_cnn,temporal_cnn,temporal_4ch_mean_std_mean_delta_std_delta,frame_mean|frame_std|mean_delta|std_delta,4,80,5,2.734257459640503,116.0,0.3564035892486572,141.0,0.7346938775510204,0.7204301075268817,0.8028673835125448,0.631578947368421,0.6666666666666666,0.6666666666666666,0.7741935483870968,0.6486486486486487,24,7,6,12
